date,longitude-170,longitude-160,longitude-150,longitude-140,longitude-130,longitude-120,longitude-110,longitude-100,longitude-90,longitude-80,longitude-70,longitude-60,longitude-50,longitude-40,longitude-30,longitude-20,longitude-10,longitude0,longitude10,longitude20,longitude30,longitude40,longitude50,longitude60,longitude70,longitude80,longitude90,longitude100,longitude110,longitude120,longitude130,longitude140,longitude150,longitude160,longitude170,longitude180
2024-03-10,1866731485587.5635,794328234.7242821,1114971496.5138848,794328234.7242821,0.0,1065360259.8881506,23757791891.142963,5366545745.973797,216385155659.39447,15975112575.127062,476895849496.4,199692309946.2054,0.0,0.0,0.0,35481338.923357606,0.0,67901517.46311659,36061589.944243126,335803784.7613529,10419496219.761585,401380884019.8839,1381294449.3637705,0.0,0.0,281838293.12644607,0.0,17209082790.07811,8912509381.337477,19649525585.97679,2066671696138.1401,800637808169.0841,550137334382.0841,1584893192461.1174,71588906673.13802,3956605894.8926616
2024-03-09,3162302779032.707,0.0,826512858.3144138,141253754.46227553,0.0,594020613.3070065,66386166845.589485,48483710340.050896,249858539700.59424,48996455030.90979,861486722014.0922,901733608634.9757,0.0,0.0,0.0,703595079.6526246,12589254.117941687,754637667.128042,71068229094.7267,663050105.8613658,6198211199.103644,21980192421.432392,2301429116.049007,1122018454.3019652,0.0,142375772916.5775,3162277660.1683793,96990278497.15839,3923080918.0606523,9695539399.706509,11748313997.858469,31892173843.18635,1076166527850.7281,0.0,0.0,72383234907.8623
2024-03-08,2379974893030.6133,0.0,832349500.1101589,0.0,398107170.5534969,477989182.60541034,36241159209.33226,63899781619.71807,249756394708.6447,24479130419.328682,662195893490.8535,177366553045.42596,0.0,0.0,0.0,433588509.4768545,0.0,647976667.4744749,120192462.19020072,739982181.5461445,286334866670.82794,5294322753.283132,205835804.94169024,35481338923.357605,0.0,35481338923.357605,0.0,155707577738.53897,2706911646.7630825,12871092411.068108,26249670392049.418,18898827562.743607,398107170553.49695,127247994110.25812,0.0,103405347795.31296
2024-03-07,0.0,562341325.1903491,1072586483.2884182,398107170.5534969,0.0,1091976629.9110565,7372437396.940284,496254252703.64575,102945294087.64848,8948991417010.559,913964914825.6775,389038137218.5106,0.0,0.0,0.0,324645095.81198406,1629287040.7658124,3218139169.0904045,9441526814.620945,4931762438.540674,26647679625.89715,1985580926.843129,25165938882.22051,0.0,0.0,0.0,3162277660.1683793,2597652471236.9785,0.0,143199636330.79846,928790857488.9412,219876928901.8765,176359606132.12515,398107170553.49695,0.0,124414541682.62845
2024-03-06,1661714781732.29,398107170553.49695,1655264551.6936007,35481338923.357605,199526231.49688828,143564181491.17853,74346456149.20566,56490246319.799515,356247936888.39923,9939815092.817173,65078135838.84641,142860360362.01727,562341325.1903491,0.0,0.0,865290912.5709974,50118723.36272735,199095710.79367185,347831128.73763674,4567956727.39265,19729546149.197304,2552535632.3708606,75202034.15441018,0.0,0.0,1263272208764.241,73315137870.1085,37860560350.54301,19602422642.39623,4489826279.969156,2989976909611.1895,1289342260853.8467,127157745287.52956,0.0,795450253178.5841,5588854375.8116
2024-03-05,2379974893030.6133,50118723.36272735,3155809311.01608,0.0,562341325.1903491,377919835.2882571,7698468019.704133,34943325157.75375,253238265111.1779,44744346226.76708,189642407657.8364,141497880040.54123,0.0,0.0,398107170553.49695,0.0,34031373.69643328,1496957159.35356,464886527.55315816,922644305.0135901,98470148160.08199,17292274219.150036,6107220026.504179,3187396524483.488,0.0,226229989004.44522,423092047.58872163,1591090405600.9612,167166947012.09564,107894466637.26306,261195599116.01913,175429513768.22485,50118723.36272735,17782794100389.3,0.0,1127758415322.0212
2024-03-04,358562780059.55304,10776409366.311577,302091404.42618364,199526231.49688828,7553882699.758343,331957016.4891734,53188269824.53579,20965269257.30404,953731949865.2161,132030743629.2161,368939087736.7354,777497737246.4048,0.0,0.0,0.0,562518060283.7347,35481338.923357606,94136415.2405668,542693157.6387383,248557991.930571,457585243528.62244,107599240621.87042,3172054008.267709,0.0,398107170553.49695,3372883148778.7603,70794578438.41373,42585240602.88383,5261164156233.917,7127895641.82148,547401380449.33405,70794578438.41373,101584893192.46112,0.0,2706911646.7630825,8944278198.64631
2024-03-03,1853844186598.2937,0.0,4628432410.202565,100000000.0,1321544685.7988534,3660622277.447331,803921505621.6045,98770603575.63837,258235177787.168,87310948824.78102,88494037094.4185,169880919145.82614,0.0,0.0,0.0,199526231496.88828,62707977.48066904,331439657.9373344,50425780520.16889,3877704462.77168,65630230274.25158,63947866543.65546,140280989.09399143,562341325190.3491,794328234724.2821,362167056263.4166,0.0,100000000000.0,1122300292595.0918,79814826806.96622,910551309110.1653,681488334963.1886,939313865301.437,281909228958638.94,0.0,110034527835.63945
2024-03-02,17233110991351.262,994328234724.2821,15191584509.408588,0.0,0.0,156394640.7244987,3974645794.83377,68143316449.716675,311167531967.82117,16745386244.331211,198531305310.99527,256657372090.2557,0.0,281838293.12644607,0.0,794599029302.7205,0.0,59188329988.536545,35763047.62005631,3029056932.397083,58227451096.613785,3347669195.67141,22259567.155613936,0.0,0.0,141253754.46227553,0.0,3783831640.459025,415340849045.52875,66905837130.02395,759574995714.117,451556395325.4754,170962677846.7152,70794578438.41373,70794578438.41373,862989575141.5394
2024-03-01,176735093385.63315,761867556.6872374,3070780376.4259663,199526231.49688828,199526231.49688828,3482089313.116764,148143940088.20093,76617758076.25914,181268802983.26962,395053367379.80536,332000251911.2021,175625877823.60162,0.0,0.0,0.0,935581989.1865577,1614634943.3764672,1311916504.0206575,36807958158.97585,13512810882.313221,16541994635.98057,29564904706.976967,420251388592.1624,17982320331886.188,0.0,141253754.46227553,35622592677.81988,804845332137.5946,75378841432.28545,3188276171.386417,2753189273379.1934,2473870250410.9604,1786621276956.3933,0.0,59031232744.06483,94814069060.22408
2024-02-29,997760833194.3857,0.0,1830081715.0281446,4437970419.515996,5869189306.931461,848272105604.8231,75954687301.9223,294931373162.013,308106839623.8283,88447028912.9819,96121602353.05475,116439232756.24748,0.0,0.0,281838293126.44604,3501951122.2845306,212048332.90068927,552453680.9565676,398708547.16060007,503307810.2348751,61883702556.428474,412550365316.4694,562364441739.8125,0.0,35481338923.357605,0.0,0.0,1123802873725.9233,25118864315.09582,954619071719.4672,7227710838907.434,208907642627.21765,2706203964867.347,829809573647.6396,0.0,202244036908.60394
2024-02-28,562412119768.7875,0.0,4896008872.416802,390898709.3218912,1784419423.9580054,256632087.4499534,83274434434.10799,54663142252.82468,161185372345.14023,103129746608.16069,246708841908.38535,499689348314.7776,0.0,0.0,0.0,199526231.49688828,17782794.100389227,3257716747.546673,716661615.402091,1145572581.299271,6251066825.792983,2048083255.727062,27251005312.09362,100000000000.0,199526231496.88828,71356919763.60408,0.0,481364524623.33435,31826544930.451263,2324440206.121887,713341204520.4052,8933671843.01927,789321615878.4163,3162277660168.392,8912509381.337477,4764602188300.801
2024-02-27,150189686040.57407,50118723.36272735,6813765941.998932,1135108220.683446,10269178941.252108,356207976.8971528,11200202882.009987,38306908644.0557,675359239542.749,6383334128.587935,321948185321.1779,399798797525.7032,0.0,0.0,0.0,1217554269.592875,390750802.50778353,209490674.33994406,2489926417.723516,1947246406.706139,218733504402.8848,7996346360.089231,178459509.25877908,0.0,0.0,73595640902.17241,0.0,141253754.46227553,24969631435.043427,1433689159.7400546,2538707109050.855,13431257918.428558,1512796860868.9158,794328234724.2821,865122813162.6958,26008714234.217422
2024-02-26,50118723362.72735,0.0,1113986378.1019242,141253754.46227553,844179618.3167951,141253754.46227553,600803614133.1658,14399148853.87941,119030146377.63986,1161701915671.3691,108634993515.48569,72789547157.23729,0.0,0.0,0.0,3162277660.1683793,12589254.117941687,34031373.69643328,5195990979.187564,2253373999.520038,3101395995.5133104,7287499413.174509,4744815367.706344,796566955862.8505,0.0,434075782040.5706,141253754462.27554,562341325.1903491,214380324270.97098,86045561492.46533,1356418218130.2827,1177757521341.1235,50118723362.72735,0.0,340779985959.1638,702960745126.7759
2024-02-25,100000000.0,9731956480.376854,966097538.3305932,5400998798.736717,6705557060.077972,1047467618.9733224,27514595199.233112,61235855957.57697,542408130786.1378,178310885711.58295,872414663444.3779,673544794919.0674,0.0,0.0,0.0,106275917.36177135,2259823771.769408,449921338.35031945,1198041736.2185757,2400207085.384979,26661178826.712822,5446486165.114357,20428532040.319897,0.0,0.0,8914525728026.502,0.0,223736074599.4583,10625170498279.445,141253754.46227553,1409975133276.3877,54585559284.236984,221601763499.27914,100000000000.0,35481338923.357605,7417345487.762964
2024-02-24,648060392743.8984,0.0,552190766.9678155,199526231.49688828,10277451341.435904,22840762475.38876,78075611059.41426,32351503802.93955,181105514935.19443,2452669113508.9443,358112766747.4631,63868584064.30365,0.0,0.0,0.0,106396830663.57248,100012589254.11794,386664245.2612931,640875950.6069576,11418512765.002882,77373054474.24486,1450000742.4675212,74248520087.44852,794328234724.2821,0.0,1603382978.9252996,3162277660.1683793,105594276447.7211,7103901679.526225,123930836310.05705,4342649307474.8506,794328234.7242821,2128395021926.9368,50118723362.72735,794328234724.2821,8423441816.402296
2024-02-23,3002734425870.6855,4466835921.509635,2808024066.0092983,568927633728.5367,398107170.5534969,110718926.60118079,70799332099765.14,98303216973.25218,189086530924.68555,25990816399.324154,1020856110681.4082,628620687829.1843,0.0,0.0,0.0,35481338.923357606,1126485290.223475,795395650454.103,860571321.0092957,406172833630.7389,26979236167.31033,2749914771.2798653,368130062.6194748,281838293126.44604,249662737653.71603,5619055002249.037,794328234.7242821,1790439817596.5232,199526231.49688828,12170556265.271189,533113289473.2693,2447159879446.5635,63498068665.57446,402751594927.58716,1916346689.0262475,71058887873.9091
2024-02-22,405802148858.6596,199526231.49688828,7279898391.668318,3794328102.3471575,7865769236.213463,6419972129.272983,8879704547.544327,349577382377.07275,197605703035.27988,120249519215.35825,319928539565.3783,74282547634.1524,0.0,0.0,0.0,0.0,36681621.66313286,9046299041.932323,991087042.1621877,41589772696.35925,53653953850.38158,13835204520.94018,25961372358.81628,0.0,0.0,95913442753.50955,0.0,562341325.1903491,794328234.7242821,4006457278.485174,1065114843411.5975,90185903475.05888,473879986749.55396,4484296114470.357,212048332900.68927,11715888013.574253
2024-02-21,5944426894609.298,0.0,144659322413.94183,287943904240.76697,4466835921.509635,5382737617.563845,143700198318.8283,78572458673.75705,609061065756.7864,17038286504.389017,62818446633.732834,71393320423.83438,17782794100.38923,0.0,0.0,1124753444959.1367,417005998.1162405,4543828597.542341,467141264.8406986,6591348759.308472,38829695050.719666,2516387991.718218,799734549.2930545,0.0,0.0,643699288782.0299,17782794100.38923,285141824541.0767,679945463.679943,1126736396867.7192,90169773762.62747,55482162119.836716,3425368580544.4985,0.0,35481338923.357605,413403336318.20166
2024-02-20,765545525966.0278,0.0,2413073513.5554886,0.0,0.0,320913301.8011411,98442603670.11673,72954523597.31537,184212309118.93216,61530784960.87785,351200598671.78516,71781122679.95406,0.0,0.0,0.0,0.0,1356669559.9146314,758457956.4138672,366534585.96071553,25969934532.603493,10272538741.72115,27581506438.79475,60138061161.76548,0.0,0.0,108912509381.33748,199526231.49688828,1123603347494.4265,12692756055.337826,2211274748.5341744,2371949786268.7812,229092537886.92883,498107170553.49695,25118864315.09582,3162277660.1683793,492260843192.98773
