Date,Delta_T,moon_deldot,sun_deldot,zero
1972-01-01,,0.0452158,-0.0244579,0
1972-01-02,-2.6149,0.0533572,-0.0131,0
1972-01-03,-2.8069,0.0575865,-0.0019392,0
1972-01-04,-2.9859,0.0573462,0.008929,0
1972-01-05,-3.1259,0.0526083,0.0194412,0
1972-01-06,-3.1939,0.0438159,0.0295608,0
1972-01-07,-3.2149,0.0317746,0.0392705,0
1972-01-08,-3.1689,0.0175315,0.0485644,0
1972-01-09,-3.0819,0.0022643,0.0574425,0
1972-01-10,-2.9669,-0.0128133,0.0659069,0
1972-01-11,-2.8379,-0.0265353,0.0739616,0
1972-01-12,-2.7249,-0.0378644,0.081614,0
1972-01-13,-2.6369,-0.0459763,0.0888787,0
1972-01-14,-2.6299,-0.0503466,0.0957829,0
1972-01-15,-2.6839,-0.0508283,0.1023732,0
1972-01-16,-2.8359,-0.0476959,0.1087199,0
1972-01-17,-3.0609,-0.0416272,0.114919,0
1972-01-18,-3.3239,-0.0336021,0.1210897,0
1972-01-19,-3.5849,-0.0247213,0.1273648,0
1972-01-20,-3.7919,-0.0159856,0.1338784,0
1972-01-21,-3.8889,-0.0080973,0.1407517,0
1972-01-22,-3.8319,-0.0013465,0.1480804,0
1972-01-23,-3.6809,0.0043846,0.1559271,0
1972-01-24,-3.4499,0.0095067,0.1643169,0
1972-01-25,-3.1989,0.0145372,0.1732374,0
1972-01-26,-3.0059,0.0198958,0.1826404,0
1972-01-27,-2.8979,0.0257366,0.1924462,0
1972-01-28,-2.9079,0.0318589,0.2025494,0
1972-01-29,-3.0209,0.0377172,0.2128278,0
1972-01-30,-3.1939,0.0425258,0.2231533,0
1972-01-31,-3.3869,0.045423,0.233402,0
1972-02-01,-3.5459,0.045648,0.2434644,0
1972-02-02,-3.6479,0.0426855,0.2532502,0
1972-02-03,-3.6959,0.0363511,0.2626904,0
1972-02-04,-3.6569,0.0268163,0.2717351,0
1972-02-05,-3.5519,0.0145849,0.2803493,0
1972-02-06,-3.4289,0.0004419,0.2885081,0
1972-02-07,-3.2689,-0.0146097,0.296192,0
1972-02-08,-3.1139,-0.029418,0.3033842,0
1972-02-09,-2.9909,-0.0427569,0.3100693,0
1972-02-10,-2.8999,-0.0534151,0.3162352,0
1972-02-11,-2.8819,-0.0603073,0.3218773,0
1972-02-12,-2.9749,-0.0626136,0.3270057,0
1972-02-13,-3.1349,-0.0599347,0.3316547,0
1972-02-14,-3.3799,-0.0524321,0.3358914,0
1972-02-15,-3.6379,-0.0408953,0.339821,0
1972-02-16,-3.8809,-0.0266774,0.343584,0
1972-02-17,-3.9949,-0.0114713,0.3473431,0
1972-02-18,-3.9829,0.0030291,0.3512627,0
1972-02-19,-3.8159,0.0154741,0.355486,0
1972-02-20,-3.5619,0.0250902,0.360118,0
1972-02-21,-3.2729,0.0317317,0.3652168,0
1972-02-22,-3.037,0.0357645,0.3707953,0
1972-02-23,-2.8959,0.0378505,0.3768276,0
1972-02-24,-2.8849,0.0387118,0.3832584,0
1972-02-25,-2.9479,0.0389332,0.3900104,0
1972-02-26,-3.1009,0.0388377,0.3969927,0
1972-02-27,-3.2849,0.0384431,0.4041058,0
1972-02-28,-3.4659,0.0374949,0.4112478,0
1972-02-29,-3.5939,0.0355545,0.4183198,0
1972-03-01,-3.6429,0.0321205,0.4252297,0
1972-03-02,-3.6299,0.0267517,0.4318962,0
1972-03-03,-3.5649,0.019173,0.43825,0
1972-03-04,-3.4319,0.0093479,0.4442333,0
1972-03-05,-3.2939,-0.002483,0.4497988,0
1972-03-06,-3.1459,-0.0157942,0.4549061,0
1972-03-07,-3.0099,-0.0297915,0.4595191,0
1972-03-08,-2.9269,-0.0434477,0.4636038,0
1972-03-09,-2.8989,-0.055558,0.467127,0
1972-03-10,-2.9519,-0.0648262,0.4700579,0
1972-03-11,-3.1029,-0.0699911,0.4723733,0
1972-03-12,-3.328,-0.0700069,0.4740654,0
1972-03-13,-3.6089,-0.0642695,0.4751547,0
1972-03-14,-3.8889,-0.0528506,0.4757025,0
1972-03-15,-4.0989,-0.0366539,0.4758194,0
1972-03-16,-4.1719,-0.0173881,0.4756638,0
1972-03-17,-4.0929,0.0027081,0.4754246,0
1972-03-18,-3.8549,0.0213374,0.4752926,0
1972-03-19,-3.5599,0.0366434,0.47543,0
1972-03-20,-3.2829,0.0475461,0.4759489,0
1972-03-21,-3.1029,0.0538143,0.4769048,0
1972-03-22,-3.0229,0.0559105,0.4783029,0
1972-03-23,-3.0679,0.0547189,0.4801114,0
1972-03-24,-3.1889,0.0512647,0.4822738,0
1972-03-25,-3.3469,0.0464906,0.4847203,0
1972-03-26,-3.503,0.0411126,0.487374,0
1972-03-27,-3.6239,0.0355529,0.490155,0
1972-03-28,-3.6899,0.0299383,0.4929829,0
1972-03-29,-3.7009,0.0241481,0.4957785,0
1972-03-30,-3.6469,0.017897,0.4984651,0
1972-03-31,-3.5399,0.010836,0.5009702,0
1972-04-01,-3.3999,0.0026579,0.5032261,0
1972-04-02,-3.2519,-0.0068092,0.5051711,0
1972-04-03,-3.1289,-0.0175265,0.5067482,0
1972-04-04,-3.0429,-0.0291948,0.5079046,0
1972-04-05,-3.0149,-0.0412306,0.5085897,0
1972-04-06,-3.056,-0.0527691,0.508754,0
1972-04-07,-3.1759,-0.062701,0.5083484,0
1972-04-08,-3.3769,-0.0697498,0.507326,0
1972-04-09,-3.6229,-0.0726089,0.5056474,0
1972-04-10,-3.9099,-0.0701507,0.5032905,0
1972-04-11,-4.1699,-0.0617023,0.5002645,0
1972-04-12,-4.3239,-0.0473413,0.4966256,0
1972-04-13,-4.3309,-0.0281017,0.4924876,0
1972-04-14,-4.1789,-0.005953,0.48802,0
1972-04-15,-3.905,0.0165303,0.4834276,0
1972-04-16,-3.6009,0.0367373,0.4789163,0
1972-04-17,-3.3449,0.0526058,0.4746586,0
1972-04-18,-3.2059,0.0629901,0.4707709,0
1972-04-19,-3.1939,0.0677134,0.4673089,0
1972-04-20,-3.2799,0.0673698,0.464278,0
1972-04-21,-3.4109,0.0630178,0.4616487,0
1972-04-22,-3.5409,0.0558836,0.4593715,0
1972-04-23,-3.6389,0.047135,0.4573873,0
1972-04-24,-3.686,0.0377377,0.455634,0
1972-04-25,-3.6749,0.0283807,0.4540482,0
1972-04-26,-3.6129,0.0194568,0.4525667,0
1972-04-27,-3.4899,0.011084,0.4511255,0
1972-04-28,-3.3499,0.003158,0.4496599,0
1972-04-29,-3.1829,-0.0045704,0.4481043,0
1972-04-30,-3.0369,-0.0124033,0.4463926,0
1972-05-01,-2.924,-0.0205968,0.4444586,0
1972-05-02,-2.8519,-0.0292679,0.4422366,0
1972-05-03,-2.8739,-0.0383158,0.4396614,0
1972-05-04,-2.9499,-0.0473677,0.4366682,0
1972-05-05,-3.1129,-0.0557562,0.4331924,0
1972-05-06,-3.3399,-0.0625385,0.4291703,0
1972-05-07,-3.5939,-0.0665707,0.4245418,0
1972-05-08,-3.868,-0.0666517,0.4192566,0
1972-05-09,-4.0629,-0.0617485,0.4132849,0
1972-05-10,-4.1599,-0.0512885,0.4066321,0
1972-05-11,-4.1049,-0.0354603,0.3993542,0
1972-05-12,-3.9299,-0.0154041,0.3915681,0
1972-05-13,-3.6909,0.0068445,0.3834464,0
1972-05-14,-3.4339,0.0287176,0.3751957,0
1972-05-15,-3.269,0.0476877,0.3670217,0
1972-05-16,-3.2229,0.0618223,0.3590955,0
1972-05-17,-3.2949,0.0701047,0.3515334,0
1972-05-18,-3.4069,0.0724553,0.3443947,0
1972-05-19,-3.5389,0.0695303,0.3376914,0
1972-05-20,-3.6479,0.0624346,0.3314046,0
1972-05-21,-3.688,0.0524516,0.3254973,0
1972-05-22,-3.6769,0.0408388,0.3199252,0
1972-05-23,-3.5889,0.0286939,0.3146413,0
1972-05-24,-3.4589,0.0168781,0.3095978,0
1972-05-25,-3.2849,0.0059809,0.3047461,0
1972-05-26,-3.0989,-0.0036835,0.3000352,0
1972-05-27,-2.919,-0.0120537,0.2954097,0
1972-05-28,-2.7669,-0.0192729,0.290809,0
1972-05-29,-2.6519,-0.0256173,0.2861668,0
1972-05-30,-2.6119,-0.0314058,0.2814111,0
1972-05-31,-2.6529,-0.0368993,0.2764652,0
1972-06-01,-2.7419,-0.0422026,0.2712495,0
1972-06-02,-2.905,-0.0471851,0.2656829,0
1972-06-03,-3.1029,-0.0514352,0.2596848,0
1972-06-04,-3.2919,-0.0542648,0.2531778,0
1972-06-05,-3.4509,-0.0547792,0.2460925,0
1972-06-06,-3.5189,-0.0520217,0.2383748,0
1972-06-07,-3.482,-0.0451945,0.2299965,0
1972-06-08,-3.3279,-0.0339285,0.2209687,0
1972-06-09,-3.0759,-0.0185341,0.2113541,0
1972-06-10,-2.8219,-0.0001299,0.201272,0
1972-06-11,-2.5999,0.0194517,0.1908902,0
1972-06-12,-2.5089,0.038,0.1804033,0
1972-06-13,-2.525,0.0534024,0.1700019,0
1972-06-14,-2.6479,0.0640773,0.1598453,0
1972-06-15,-2.8079,0.0692171,0.1500456,0
1972-06-16,-2.9449,0.0687996,0.1406665,0
1972-06-17,-3.0009,0.0634341,0.1317314,0
1972-06-18,-3.014,0.0541397,0.1232363,0
1972-06-19,-2.9389,0.0421316,0.1151615,0
1972-06-20,-2.8219,0.0286529,0.1074797,0
1972-06-21,-2.6749,0.0148546,0.1001607,0
1972-06-22,-2.489,0.0017159,0.093173,0
1972-06-23,-2.3119,-0.0100078,0.0864826,0
1972-06-24,-2.1669,-0.0198161,0.0800508,0
1972-06-25,-2.0679,-0.0274763,0.0738317,0
1972-06-26,-2.0319,-0.0330124,0.0677688,0
1972-06-27,-2.078,-0.036666,0.0617942,0
1972-06-28,-2.1959,-0.0388257,0.0558274,0
1972-06-29,-2.3729,-0.0399274,0.0497778,0
1972-06-30,-2.5869,-0.0403409,0.0435471,0
1972-07-01,-2.8109,-0.0402613,0.0370343,0
1972-07-02,-2.995,-0.0396321,0.0301415,0
1972-07-03,-3.0909,-0.0381254,0.0227793,0
1972-07-04,-3.0829,-0.0351932,0.0148741,0
1972-07-05,-2.9829,-0.0301974,0.0063764,0
1972-07-06,-2.78,-0.0226034,-0.0027307,0
1972-07-07,-2.5529,-0.0122008,-0.0124222,0
1972-07-08,-2.3359,0.0007113,-0.0226258,0
1972-07-09,-2.2159,0.0152479,-0.0332227,0
1972-07-10,-2.2,0.0300273,-0.0440579,0
1972-07-11,-2.2869,0.0434172,-0.0549596,0
1972-07-12,-2.3879,0.0538651,-0.0657617,0
1972-07-13,-2.5439,0.0601961,-0.0763237,0
1972-07-14,-2.6589,0.0617905,-0.086541,0
1972-07-15,-2.709,0.0586164,-0.0963466,0
1972-07-16,-2.6759,0.0511476,-0.1057051,0
1972-07-17,-2.5959,0.0402273,-0.1146039,0
1972-07-18,-2.4599,0.026922,-0.1230443,0
1972-07-19,-2.321,0.0123945,-0.131035,0
1972-07-20,-2.1569,-0.0021974,-0.1385879,0
1972-07-21,-2.0189,-0.0157827,-0.1457174,0
1972-07-22,-1.9429,-0.0274456,-0.1524412,0
1972-07-23,-1.915,-0.0364875,-0.1587839,0
1972-07-24,-1.9589,-0.0424807,-0.1647808,0
1972-07-25,-2.0889,-0.0453089,-0.170483,0
1972-07-26,-2.2889,-0.0451762,-0.1759608,0
1972-07-27,-2.536,-0.0425731,-0.1813048,0
1972-07-28,-2.7959,-0.0381876,-0.1866244,0
1972-07-29,-3.0199,-0.0327695,-0.1920409,0
1972-07-30,-3.175,-0.0269737,-0.1976788,0
1972-07-31,-3.2079,-0.0212246,-0.2036549,0
1972-08-01,-3.1289,-0.0156405,-0.2100675,0
1972-08-02,-2.9569,-0.0100464,-0.2169879,0
1972-08-03,-2.748,-0.0040743,-0.2244532,0
1972-08-04,-2.5509,0.002671,-0.2324622,0
1972-08-05,-2.4389,0.0104261,-0.2409738,0
1972-08-06,-2.3909,0.019115,-0.2499079,0
1972-08-07,-2.463,0.0282767,-0.2591517,0
1972-08-08,-2.5959,0.0371033,-0.2685697,0
1972-08-09,-2.7769,0.0445802,-0.2780176,0
1972-08-10,-2.917,0.0496867,-0.2873575,0
1972-08-11,-2.9669,0.0515936,-0.2964692,0
1972-08-12,-2.9639,0.0498065,-0.3052576,0
1972-08-13,-2.8579,0.0442291,-0.3136541,0
1972-08-14,-2.725,0.0351545,-0.321613,0
1972-08-15,-2.5259,0.0232077,-0.3291064,0
1972-08-16,-2.3349,0.0092656,-0.3361177,0
1972-08-17,-2.147,-0.005626,-0.3426369,0
1972-08-18,-2.0149,-0.0203322,-0.3486572,0
1972-08-19,-1.9249,-0.0337066,-0.3541744,0
1972-08-20,-1.9219,-0.0446719,-0.359188,0
1972-08-21,-1.995,-0.0523123,-0.3637056,0
1972-08-22,-2.1419,-0.0559763,-0.3677488,0
1972-08-23,-2.3619,-0.0553812,-0.3713605,0
1972-08-24,-2.614,-0.0506957,-0.3746117,0
