Date,x,y,ut1-utc,ut1-tai,ut1-utc delta t,Delta_T,moon_deldot,sun_deldot,zero
1972-01-01,30.4,18.7,-45.4859,-10045.4859,,,0.0452158,-0.0244579,0
1972-01-02,26.9,17.9,-48.1008,-10048.1008,-2.6149,-2.6149,0.0533572,-0.0131,0
1972-01-03,23.3,17.2,-50.9077,-10050.9077,-2.8069,-2.8069,0.0575865,-0.0019392,0
1972-01-04,19.801,16.501,-53.8936,-10053.8936,-2.9859,-2.9859,0.0573462,0.008929,0
1972-01-05,16.301,15.901,-57.0195,-10057.0195,-3.1259,-3.1259,0.0526083,0.0194412,0
1972-01-06,12.801,15.301,-60.2134,-10060.2134,-3.1939,-3.1939,0.0438159,0.0295608,0
1972-01-07,9.301,14.801,-63.4283,-10063.4283,-3.2149,-3.2149,0.0317746,0.0392705,0
1972-01-08,5.902,14.302,-66.5972,-10066.5972,-3.1689,-3.1689,0.0175315,0.0485644,0
1972-01-09,2.402,13.902,-69.6791,-10069.6791,-3.0819,-3.0819,0.0022643,0.0574425,0
1972-01-10,-1.098,13.502,-72.646,-10072.646,-2.9669,-2.9669,-0.0128133,0.0659069,0
1972-01-11,-4.498,13.202,-75.4839,-10075.4839,-2.8379,-2.8379,-0.0265353,0.0739616,0
1972-01-12,-7.897,12.903,-78.2088,-10078.2088,-2.7249,-2.7249,-0.0378644,0.081614,0
1972-01-13,-11.297,12.703,-80.8457,-10080.8457,-2.6369,-2.6369,-0.0459763,0.0888787,0
1972-01-14,-14.597,12.503,-83.4756,-10083.4756,-2.6299,-2.6299,-0.0503466,0.0957829,0
1972-01-15,-17.996,12.304,-86.1595,-10086.1595,-2.6839,-2.6839,-0.0508283,0.1023732,0
1972-01-16,-21.296,12.204,-88.9954,-10088.9954,-2.8359,-2.8359,-0.0476959,0.1087199,0
1972-01-17,-24.596,12.104,-92.0563,-10092.0563,-3.0609,-3.0609,-0.0416272,0.114919,0
1972-01-18,-27.796,12.104,-95.3802,-10095.3802,-3.3239,-3.3239,-0.0336021,0.1210897,0
1972-01-19,-30.995,12.105,-98.9651,-10098.9651,-3.5849,-3.5849,-0.0247213,0.1273648,0
1972-01-20,-34.195,12.105,-102.757,-10102.757,-3.7919,-3.7919,-0.0159856,0.1338784,0
1972-01-21,-37.295,12.205,-106.6459,-10106.6459,-3.8889,-3.8889,-0.0080973,0.1407517,0
1972-01-22,-40.395,12.305,-110.4778,-10110.4778,-3.8319,-3.8319,-0.0013465,0.1480804,0
1972-01-23,-43.494,12.406,-114.1587,-10114.1587,-3.6809,-3.6809,0.0043846,0.1559271,0
1972-01-24,-46.494,12.606,-117.6086,-10117.6086,-3.4499,-3.4499,0.0095067,0.1643169,0
1972-01-25,-49.494,12.806,-120.8075,-10120.8075,-3.1989,-3.1989,0.0145372,0.1732374,0
1972-01-26,-52.393,13.007,-123.8134,-10123.8134,-3.0059,-3.0059,0.0198958,0.1826404,0
1972-01-27,-55.293,13.307,-126.7113,-10126.7113,-2.8979,-2.8979,0.0257366,0.1924462,0
1972-01-28,-58.193,13.607,-129.6192,-10129.6192,-2.9079,-2.9079,0.0318589,0.2025494,0
1972-01-29,-60.993,13.907,-132.6401,-10132.6401,-3.0209,-3.0209,0.0377172,0.2128278,0
1972-01-30,-63.692,14.208,-135.834,-10135.834,-3.1939,-3.1939,0.0425258,0.2231533,0
1972-01-31,-66.392,14.608,-139.2209,-10139.2209,-3.3869,-3.3869,0.045423,0.233402,0
1972-02-01,-69.092,15.008,-142.7668,-10142.7668,-3.5459,-3.5459,0.045648,0.2434644,0
1972-02-02,-71.791,15.509,-146.4147,-10146.4147,-3.6479,-3.6479,0.0426855,0.2532502,0
1972-02-03,-74.491,16.009,-150.1106,-10150.1106,-3.6959,-3.6959,0.0363511,0.2626904,0
1972-02-04,-77.091,16.609,-153.7675,-10153.7675,-3.6569,-3.6569,0.0268163,0.2717351,0
1972-02-05,-79.591,17.109,-157.3194,-10157.3194,-3.5519,-3.5519,0.0145849,0.2803493,0
1972-02-06,-82.09,17.81,-160.7483,-10160.7483,-3.4289,-3.4289,0.0004419,0.2885081,0
1972-02-07,-84.59,18.51,-164.0172,-10164.0172,-3.2689,-3.2689,-0.0146097,0.296192,0
1972-02-08,-87.09,19.21,-167.1311,-10167.1311,-3.1139,-3.1139,-0.029418,0.3033842,0
1972-02-09,-89.49,20.01,-170.122,-10170.122,-2.9909,-2.9909,-0.0427569,0.3100693,0
1972-02-10,-91.889,20.811,-173.0219,-10173.0219,-2.8999,-2.8999,-0.0534151,0.3162352,0
1972-02-11,-94.189,21.811,-175.9038,-10175.9038,-2.8819,-2.8819,-0.0603073,0.3218773,0
1972-02-12,-96.489,22.811,-178.8787,-10178.8787,-2.9749,-2.9749,-0.0626136,0.3270057,0
1972-02-13,-98.688,23.812,-182.0136,-10182.0136,-3.1349,-3.1349,-0.0599347,0.3316547,0
1972-02-14,-100.888,24.912,-185.3935,-10185.3935,-3.3799,-3.3799,-0.0524321,0.3358914,0
1972-02-15,-103.088,26.112,-189.0314,-10189.0314,-3.6379,-3.6379,-0.0408953,0.339821,0
1972-02-16,-105.288,27.412,-192.9123,-10192.9123,-3.8809,-3.8809,-0.0266774,0.343584,0
1972-02-17,-107.487,28.813,-196.9072,-10196.9072,-3.9949,-3.9949,-0.0114713,0.3473431,0
1972-02-18,-109.687,30.213,-200.8901,-10200.8901,-3.9829,-3.9829,0.0030291,0.3512627,0
1972-02-19,-111.887,31.713,-204.706,-10204.706,-3.8159,-3.8159,0.0154741,0.355486,0
1972-02-20,-114.087,33.413,-208.2679,-10208.2679,-3.5619,-3.5619,0.0250902,0.360118,0
